transect,quad,species,height_mm,mxdiam_mm,flws,frts,buds,data_notes,data_entry_notes,,,,,,,,,,,,,,,,,,
BT-10,6,vacova,320,600,0,5,0,,,,,,,,,,,,,,,,,,,,
BT-10,7,vacova,153,259,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,7,phyemp,463,180,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,7,phyemp,155,140,0,0,1,,,,,,,,,,,,,,,,,,,,
BT-10,7,vacova,370,1120,3,13,1,,,,,,,,,,,,,,,,,,,,
BT-10,7,phyemp,310,400,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,phyemp,130,200,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,phyemp,180,160,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,vacova,200,600,2,0,4,,,,,,,,,,,,,,,,,,,,
BT-10,10,vacova,210,560,2,0,3,,,,,,,,,,,,,,,,,,,,
BT-10,10,vacova,200,250,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,1,vacova,60,165,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,1,vacova,80,26,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,1,vacova,115,215,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-11,1,vacova,182,290,0,7,1,,,,,,,,,,,,,,,,,,,,
BT-11,1,vacova,289,570,0,5,0,,,,,,,,,,,,,,,,,,,,
BT-11,1,phyemp,220,350,0,0,22,,,,,,,,,,,,,,,,,,,,
BT-11,1,phyemp,214,260,0,0,10,,,,,,,,,,,,,,,,,,,,
BT-11,2,phyemp,205,460,0,0,24,,,,,,,,,,,,,,,,,,,,
BT-11,2,phyemp,201,390,0,0,1,,,,,,,,,,,,,,,,,,,,
BT-11,2,phyemp,23,10,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,2,vacova,70,230,2,3,0,,,,,,,,,,,,,,,,,,,,
BT-11,2,vacova,240,299,1,3,0,,,,,,,,,,,,,,,,,,,,
BT-11,2,vacova,161,530,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,2,vacova,208,280,1,2,0,,,,,,,,,,,,,,,,,,,,
BT-11,2,phyemp,163,320,0,0,12,,,,,,,,,,,,,,,,,,,,
BT-11,2,vacova,148,285,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,phyemp,253,610,1,0,30,,,,,,,,,,,,,,,,,,,,
BT-11,3,phyemp,170,325,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,phyemp,136,350,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,vacova,46,650,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,vacova,90,430,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,vacova,43,162,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,3,vacova,220,760,0,2,2,,,,,,,,,,,,,,,,,,,,
BT-11,4,vacova,15,12,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,4,vacova,208,308,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,4,vacova,150,420,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,4,vacova,241,410,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-11,4,vacova,125,412,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,4,phyemp,193,403,5,0,44,,,,,,,,,,,,,,,,,,,,
BT-11,4,phyemp,210,675,0,0,49,,,,,,,,,,,,,,,,,,,,
BT-11,5,vacova,60,60,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,5,vacova,110,100,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,5,vacova,60,70,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,5,vacova,140,190,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,5,vacova,200,220,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,6,phyemp,300,490,18,3,32,,,,,,,,,,,,,,,,,,,,
BT-11,6,vacova,60,90,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,6,vacova,50,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,6,vacova,130,300,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,6,vacova,100,150,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,6,vacova,110,90,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,7,phyemp,150,540,8,0,75,,,,,,,,,,,,,,,,,,,,
BT-11,7,vacova,160,260,2,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,7,vacova,210,600,0,5,0,,,,,,,,,,,,,,,,,,,,
BT-11,7,vacova,90,150,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,phyemp,30,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,phyemp,120,220,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,phyemp,210,480,0,0,1,,,,,,,,,,,,,,,,,,,,
BT-11,8,phyemp,180,150,2,0,20,,,,,,,,,,,,,,,,,,,,
BT-11,8,vacova,220,350,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,vacova,20,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,vacova,80,60,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,vacova,220,190,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,8,vacova,140,300,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,9,phyemp,230,600,6,0,35,,,,,,,,,,,,,,,,,,,,
BT-11,9,vacova,50,40,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,9,vacova,80,480,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,9,vacova,230,600,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-11,10,phyemp,180,780,7,0,2,,,,,,,,,,,,,,,,,,,,
BT-11,10,vacova,30,110,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,10,vacova,20,110,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,10,vacova,160,590,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,10,vacova,80,160,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-11,10,vacova,290,1000,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-12,1,phyemp,105,380,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-12,1,phyemp,150,245,0,0,4,,,,,,,,,,,,,,,,,,,,
BT-12,1,phyemp,140,390,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-12,1,vacova,140,535,3,28,0,,,,,,,,,,,,,,,,,,,,
BT-12,1,vacova,100,575,1,13,1,,,,,,,,,,,,,,,,,,,,
BT-12,1,vacova,155,640,8,10,0,,,,,,,,,,,,,,,,,,,,
BT-12,2,vacova,195,620,5,23,0,,,,,,,,,,,,,,,,,,,,
BT-12,2,vacova,210,690,4,6,0,,,,,,,,,,,,,,,,,,,,
BT-12,2,vacova,155,225,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-12,2,phyemp,170,660,0,0,2,,,,,,,,,,,,,,,,,,,,
BT-12,2,phyemp,195,475,0,0,19,,,,,,,,,,,,,,,,,,,,
BT-12,2,phyemp,240,470,0,0,12,,,,,,,,,,,,,,,,,,,,
BT-12,3,phyemp,255,450,0,0,35,,,,,,,,,,,,,,,,,,,,
BT-12,3,phyemp,245,1000,1,0,41,,,,,,,,,,,,,,,,,,,,
BT-12,3,phyemp,210,420,0,0,2,,,,,,,,,,,,,,,,,,,,
BT-12,3,vacova,225,550,2,5,0,,,,,,,,,,,,,,,,,,,,
BT-12,3,vacova,230,540,0,10,0,,,,,,,,,,,,,,,,,,,,
BT-12,3,vacova,125,310,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-12,3,vacova,160,140,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-12,4,phyemp,410,1120,20,0,200,,,,,,,,,,,,,,,,,,,,
BT-12,4,vacova,350,1120,1,37,0,,,,,,,,,,,,,,,,,,,,
BT-12,5,vacova,155,350,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-12,5,vacova,130,275,1,4,0,,,,,,,,,,,,,,,,,,,,
BT-12,5,vacova,200,310,0,3,0,,,,,,,,,,,,,,,,,,,,
BT-12,5,vacova,285,815,0,17,0,,,,,,,,,,,,,,,,,,,,
BT-12,5,phyemp,350,800,30,1,53,,,,,,,,,,,,,,,,,,,,
BT-12,5,phyemp,195,205,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-12,6,vacova,150,185,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-12,6,vacova,245,390,0,16,0,,,,,,,,,,,,,,,,,,,,
BT-12,6,vacova,210,605,0,6,0,,,,,,,,,,,,,,,,,,,,
BT-12,6,vacova,205,254,3,24,0,,,,,,,,,,,,,,,,,,,,
BT-12,6,vacova,175,170,0,4,0,,,,,,,,,,,,,,,,,,,,
BT-12,7,vacova,345,580,1,22,0,,,,,,,,,,,,,,,,,,,,
BT-12,7,vacova,265,730,0,50,0,,,,,,,,,,,,,,,,,,,,
BT-12,8,vacova,365,1000,0,43,0,,,,,,,,,,,,,,,,,,,,
BT-12,9,vacova,420,1010,0,28,0,,1010 was hard to distinguish,,,,,,,,,,,,,,,,,,
BT-12,10,vacova,320,1120,0,58,0,,,,,,,,,,,,,,,,,,,,
BT-13,1,carspp,170,350,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,1,vacova,51,80,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,1,vacova,36,110,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,1,carspp,85,220,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,1,vacova,100,250,1,0,3,,,,,,,,,,,,,,,,,,,,
BT-13,1,vacova,112,253,2,0,2,,,,,,,,,,,,,,,,,,,,
BT-13,1,carspp,50,130,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,carspp,58,175,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,carspp,40,30,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,carspp,15,360,0,5,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,carspp,120,20,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,vacova,82,160,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,2,vacova,160,220,1,0,1,,,,,,,,,,,,,,,,,,,,
BT-13,2,vacova,120,70,2,0,1,,,,,,,,,,,,,,,,,,,,
BT-13,2,vacova,120,298,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,vacova,100,230,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,vacova,20,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,vacova,65,170,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,vacova,83,300,4,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,carspp,75,63,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,carspp,116,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,carspp,83,40,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,carspp,60,90,0,0,0,,difficult to distinguish if 60 or 66,,,,,,,,,,,,,,,,,,
BT-13,3,carspp,30,86,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,3,casmer,140,260,24,0,1,,,,,,,,,,,,,,,,,,,,
BT-13,4,vacova,52,235,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,4,vacova,70,143,2,0,2,,,,,,,,,,,,,,,,,,,,
BT-13,4,vacova,140,170,1,2,0,,,,,,,,,,,,,,,,,,,,
BT-13,4,vacova,100,94,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,4,vacova,120,390,3,4,0,,,,,,,,,,,,,,,,,,,,
BT-13,4,carspp,80,180,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,4,carspp,74,139,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,5,vacova,76,142,4,1,0,,,,,,,,,,,,,,,,,,,,
BT-13,5,vacova,70,80,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-13,5,vacova,85,35,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,5,vacova,50,60,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,6,casmer,240,540,111,0,37,,,,,,,,,,,,,,,,,,,,
BT-13,6,vacova,130,142,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,6,carspp,20,11,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,7,vacova,86,190,4,2,0,page is ripped at the bottom,,,,,,,,,,,,,,,,,,,
BT-13,7,vacova,112,280,7,3,4,,,,,,,,,,,,,,,,,,,,
BT-13,7,carspp,43,32,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,7,carspp,115,176,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,carspp,60,2,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,carspp,170,40,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,carspp,50,57,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,vacova,63,253,0,3,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,vacova,45,270,0,4,0,,,,,,,,,,,,,,,,,,,,
BT-13,8,vacova,98,220,3,4,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,carspp,153,345,8,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,casmer,120,202,4,17,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,vacova,80,180,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,vacova,80,170,2,3,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,vacova,47,81,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,carspp,211,80,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,carspp,155,245,5,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,carspp,175,60,5,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,carspp,230,90,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,vacova,50,40,1,1,0,,,,,,,,,,,,,,,,,,,,
BT-13,9,vacova,49,182,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,vacova,51,210,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,carspp,222,212,8,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,vacova,65,250,0,2,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,vacova,80,198,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,vacova,47,26,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,carspp,180,70,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-13,10,vacova,95,294,1,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,carspp,160,40,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,vacova,80,80,1,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,vacova,60,130,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,vacova,70,60,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,vacova,210,250,7,7,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,vacova,80,150,0,0,1,,,,,,,,,,,,,,,,,,,,
BT-14,8,casmer,240,860,26,10,1,,,,,,,,,,,,,,,,,,,,
BT-14,9,vacova,100,110,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,vacova,90,110,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,vacova,70,160,1,1,1,,,,,,,,,,,,,,,,,,,,
BT-14,9,vacova,80,120,3,4,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,vacova,80,110,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,carspp,85,97,0,0,0,,data from this point and below was written afar from the original data set,,,,,,,,,,,,,,,,,,
BT-14,9,carspp,50,87,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,carspp,105,85,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,carspp,110,155,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,9,carspp,91,162,11,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,vacova,70,110,1,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,vacova,90,170,1,2,1,,,,,,,,,,,,,,,,,,,,
BT-14,10,vacova,70,170,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,vacova,70,130,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,vacova,150,160,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,casmer,180,1000,18,24,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,carspp,110,85,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,carspp,66,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,10,carspp,79,112,7,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,phyemp,140,160,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,vacova,180,70,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,vacova,150,110,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,vacova,180,220,4,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,vacova,180,150,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,1,casmer,280,1120,32,5,0,,,,,,,,,,,,,,,,,,,,
BT-14,2,phyemp,420,550,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,vacova,200,50,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,vacova,240,50,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,vacova,250,50,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,vacova,200,120,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,vacova,210,160,,,,,,,,,,,,,,,,,,,,,,,
BT-14,2,casmer,410,750,,,,,,,,,,,,,,,,,,,,,,,
BT-14,3,phyemp,360,1120,0,0,16,,,,,,,,,,,,,,,,,,,,
BT-14,3,vacova,280,120,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,3,vacova,140,180,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,3,casmer,150,500,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,phyemp,300,500,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,phyemp,390,640,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,vacova,160,160,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,vacova,140,150,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,vacova,120,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,vacova,60,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,casmer,90,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,4,casmer,200,740,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,5,vacova,60,40,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,5,vacova,200,110,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,5,vacova,210,140,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,5,casmer,300,1120,20,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,vacova,120,90,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,vacova,210,130,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,vacova,60,100,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,vacova,140,200,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,vacova,160,170,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,6,casmer,280,1120,14,36,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,carspp,130,110,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,vacova,160,170,5,0,1,,,,,,,,,,,,,,,,,,,,
BT-14,7,vacova,90,140,6,1,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,vacova,70,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,vacova,90,80,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,vacova,160,270,6,0,0,,,,,,,,,,,,,,,,,,,,
BT-14,7,casmer,320,680,34,3,4,,,,,,,,,,,,,,,,,,,,
BT-14,7,casmer,310,600,8,2,0,,,,,,,,,,,,,,,,,,,,
BT-14,8,carspp,130,100,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,casmer,10,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,casmer,10,35,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,casmer,40,250,1,0,1,,,,,,,,,,,,,,,,,,,,
BT-15,8,casmer,20,190,3,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,phygla,60,60,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,phygla,35,90,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,8,phygla,15,200,0,0,0,,"hard to distinguish 200, could be 300",,,,,,,,,,,,,,,,,,
BT-15,8,phygla,50,330,1,0,1,,,,,,,,,,,,,,,,,,,,
BT-15,9,casmer,80,510,19,0,10,,,,,,,,,,,,,,,,,,,,
BT-15,10,casmer,10,85,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,1,casmer,20,70,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,1,casmer,13,82,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,1,casmer,32,172,0,0,2,,,,,,,,,,,,,,,,,,,,
BT-15,2,casmer,25,200,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,2,casmer,40,82,1,0,2,,,,,,,,,,,,,,,,,,,,
BT-15,3,carspp,47,170,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,3,phyemp,13,72,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,3,phyemp,30,60,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-15,3,phyemp,30,100,0,0,0,,,,,,,,,,,,,,,,,,,,
