Date,Location,Transect,Quadrant,Photographer,% Cover
6/8/2022,BT,9,9,TM,0.229883056
6/8/2022,PR,17,1,MUC,0.043900633
6/8/2022,PR,17,10,MUC,0.069530101
6/8/2022,PR,17,2,MUC,0.036814388
6/8/2022,PR,17,3,MUC,0.041846186
6/8/2022,PR,17,4,MUC,0.051084907
6/8/2022,PR,17,5,MUC,0.046022908
6/8/2022,PR,17,6,MUC,0.038241374
6/8/2022,PR,17,7,MUC,0.020420384
6/8/2022,PR,17,8,MUC,0.029932689
6/8/2022,PR,17,9,MUC,0.065493737
6/8/2022,PR,17,9,MUC,0.071827328
6/8/2022,PR,18,1,CC,0.110063907
6/8/2022,PR,18,10,CC,0.118221602
6/8/2022,PR,18,2,CC,0.060528256
6/8/2022,PR,18,3,CC,0.122003016
6/8/2022,PR,18,4,CC,0.170158012
6/8/2022,PR,18,5,CC,0.076706026
6/8/2022,PR,18,6,CC,0.137616496
6/8/2022,PR,18,7,CC,0.084886016
6/8/2022,PR,18,8,CC,0.144025138
6/8/2022,PR,18,9,CC,0.132960284
6/8/2022,PR,19,1,TM,0.108918604
6/8/2022,PR,19,10,TM,0.028846594
6/8/2022,PR,19,2,TM,0.074116222
6/8/2022,PR,19,3,TM,0.06902377
6/8/2022,PR,19,4,TM,0.073983063
6/8/2022,PR,19,5,TM,0.0627548
6/8/2022,PR,19,6,TM,0.037207727
6/8/2022,PR,19,7,TM,0.035375366
6/8/2022,PR,19,8,TM,0.059633659
6/8/2022,PR,19,9,TM,0.011575933
6/8/2022,PR,20,1,NC,0.283056788
6/8/2022,PR,20,10,TM,0.063854111
6/8/2022,PR,20,2,NC,0.231225403
6/8/2022,PR,20,3,NC,0.237108188
6/8/2022,PR,20,4,NC,0.121341378
6/8/2022,PR,20,5,MUC,0.359417526
6/8/2022,PR,20,6,MUC,0.16213066
6/8/2022,PR,20,7,NC,0.146964755
6/8/2022,PR,20,8,TM,0.189943402
6/8/2022,PR,20,9,TM,0.146249451
6/8/2022,PR,21,1,TM,0.109668906
6/8/2022,PR,21,10,TM,0.429844372
6/8/2022,PR,21,2,TM,0.07779986
6/8/2022,PR,21,3,TM,0.309700312
6/8/2022,PR,21,4,TM,0.105558713
6/8/2022,PR,21,5,TM,0.193278279
6/8/2022,PR,21,6,TM,0.16037164
6/8/2022,PR,21,7,TM,0.130618867
6/8/2022,PR,21,8,TM,0.216615993
6/8/2022,PR,21,9,TM,0.435285489
6/8/2022,PR,22,1,MUC,0.043220192
6/8/2022,PR,22,10,MUC,0.195222788
6/8/2022,PR,22,2,MUC,0.147391634
6/8/2022,PR,22,3,MUC,0.353725895
6/8/2022,PR,22,4,MUC,0.091848837
6/8/2022,PR,22,5,MUC,0.087039038
6/8/2022,PR,22,6,MUC,0.156430036
6/8/2022,PR,22,7,MUC,0.092190053
6/8/2022,PR,22,8,MUC,0.13617635
6/8/2022,PR,22,9,MUC,0.106079674
6/8/2022,PR,23,1,NC,0.108080725
6/8/2022,PR,23,10,NC,0.132936414
6/8/2022,PR,23,2,NC,0.300807949
6/8/2022,PR,23,3,NC,0.088789474
6/8/2022,PR,23,4,NC,0.032553578
6/8/2022,PR,23,4,NC,0.038379344
6/8/2022,PR,23,5,NC,0.02243053
6/8/2022,PR,23,6,CC,0.067423298
6/8/2022,PR,23,7,NC,0.048246633
6/8/2022,PR,23,8,NC,0.043836934
6/8/2022,PR,23,9,NC,0.034809287
6/8/2022,PR,24,1,NC,0.556791311
6/8/2022,PR,24,10,NC,0.247323541
6/8/2022,PR,24,2,NC,0.235710294
6/8/2022,PR,24,3,NC,0.30095405
6/8/2022,PR,24,4,NC,0.137682897
6/8/2022,PR,24,5,NC,0.302430425
6/8/2022,PR,24,6,NC,0.093076709
6/8/2022,PR,24,7,NC,0.200890532
6/8/2022,PR,24,8,NC,0.146784157
6/8/2022,PR,24,9,NC,0.248839088
6/8/2022,TM,1,1,CC,0.138070484
6/8/2022,TM,1,10,CC,0.164319479
6/8/2022,TM,1,2,CC,0.042472539
6/8/2022,TM,1,3,CC,0.100539375
6/8/2022,TM,1,4,CC,0.183983265
6/8/2022,TM,1,5,CC,0.070950247
6/8/2022,TM,1,6,CC,0.022701899
6/8/2022,TM,1,7,CC,0.022237694
6/8/2022,TM,1,8,CC,0.026082914
6/8/2022,TM,1,9,CC,0.032958059
6/8/2022,TM,2,1,TM,0.300258754
6/8/2022,TM,2,10,TM,0.238357131
6/8/2022,TM,2,2,TM,0.253003943
6/8/2022,TM,2,3,TM,0.212953158
6/8/2022,TM,2,4,TM,0.180711105
6/8/2022,TM,2,5,TM,0.177359643
6/8/2022,TM,2,6,TM,0.312572685
6/8/2022,TM,2,7,TM,0.17620731
6/8/2022,TM,2,8,TM,0.225204642
6/8/2022,TM,2,9,TM,0.218429162
6/8/2022,TM,3,1,NC,0.387384905
6/8/2022,TM,3,10,NC,0.143084135
6/8/2022,TM,3,2,NC,0.206941196
6/8/2022,TM,3,3,NC,0.076746047
6/8/2022,TM,3,4,NC,0.087793554
6/8/2022,TM,3,5,NC,0.08487084
6/8/2022,TM,3,6,NC,0.082604708
6/8/2022,TM,3,7,NC,0.202408382
6/8/2022,TM,3,8,NC,0.270298632
6/8/2022,TM,3,9,NC,0.376077425
6/8/2022,TM,4,1,CC,0.270792225
6/8/2022,TM,4,10,NC,0.630911145
6/8/2022,TM,4,2,NC,0.460958093
6/8/2022,TM,4,2,NC,0.441677632
6/8/2022,TM,4,3,NC,0.598622287
6/8/2022,TM,4,4,NC,0.489662367
6/8/2022,TM,4,6,NC,0.495284177
6/8/2022,TM,4,7,NC,0.487761997
6/8/2022,TM,4,8,NC,0.488149429
6/8/2022,TM,4,9,NC,0.569821027
